Date;Screen Name;Full Name;Sentiment;Tweet Text;Tweet ID;App;Followers;Follows;Retweets;Favorites;Verfied;User Since;Location;Bio;Profile Image;Google Maps
3/28/2017 14:30:05;@julianat048;JULII;1;RT @PsicologoMan: GOOOOOL DE MÍ SELECCIÓN COLOMBIA HIJUEMADRE, ESTOY LLORANDO AGUAPANELA???????;846836818708480002;Twitter for Android;883;1160;96;0;No;08/03/2016;Medellín, Colombia;Vivir sin limites ?//?Real Madrid? ?Atletico Nacional?;View;
3/28/2017 14:30:05;@softshawnm;giovanna ??;1;RT @paisaregui: REITERO: NADIE CELEBRA MEJOR LOS GOLES QUE LA SELECCIÓN COLOMBIA, NADIE!!! MIS CAFETEROS HEMOCHOS ?;846836819207618561;Twitter for iPhone;7146;619;33;0;No;24/09/2012;col,, series ;no one knows for certain how much impact they have on the lives of other people;View;
3/28/2017 14:30:06;@ExtraHuila;Extra Huila;0;[EN VIVO] Y se abrió el marcador con @jamesdrodriguez @FEFecuador vs. @FCFSeleccionCol #ConLaTricolorPuesta https://t.co/Yf1gkvGwXW;846836820533035012;WEB Post to Timeline;799;34;0;0;No;14/05/2012;;;View;
3/28/2017 14:30:06;@ExtraBoyaca;Extra Boyacá;0;[EN VIVO] Y se abrió el marcador con @jamesdrodriguez @FEFecuador vs. @FCFSeleccionCol #ConLaTricolorPuesta https://t.co/34dyRvTnyO;846836821661270016;WEB Post to Timeline;5881;8;0;0;No;02/05/2012;;;View;
3/28/2017 14:30:06;@ExtraCaqueta;Extra Caquetá;0;[EN VIVO] Y se abrió el marcador con @jamesdrodriguez @FEFecuador vs. @FCFSeleccionCol #ConLaTricolorPuesta https://t.co/18BFCtOUXn;846836823234097153;WEB Post to Timeline;868;161;0;0;No;14/05/2012;;;View;
3/28/2017 14:30:07;@ExtraCali;Extra Cali;0;[EN VIVO] Y se abrió el marcador con @jamesdrodriguez @FEFecuador vs. @FCFSeleccionCol #ConLaTricolorPuesta https://t.co/nxqDPQK6FE;846836824391782400;WEB Post to Timeline;1058;147;0;0;No;14/05/2012;;;View;
3/28/2017 14:30:07;@ExtraCasanare;Extra Casanare;0;[EN VIVO] Y se abrió el marcador con @jamesdrodriguez @FEFecuador vs. @FCFSeleccionCol #ConLaTricolorPuesta https://t.co/aEmUMXIePs;846836825541001217;WEB Post to Timeline;454;88;0;0;No;28/03/2015;Yopal, Casanare;Medio de comunicación impreso, circulación diaria en el departamento;View;
3/28/2017 14:30:07;@Haroletto;Harold Rodríguez;1;La selección Colombia está jugando hermoso, se parece tanto a ti con mis sentimientos.;846836825595531265;Twitter for iPhone;35373;590;4;14;No;18/04/2009;Bogotá, Colombia;Campeón mundial del optimismo. Abogado de los influyentes, subdirector @BrandmenCol #BrandMen #InfluencerMarketing CONTACTO: haroldrodriguez@outlook.com;View;
3/28/2017 14:30:07;@ExtraChiq;Extra Chiquinquirá;0;[EN VIVO] Y se abrió el marcador con @jamesdrodriguez @FEFecuador vs. @FCFSeleccionCol #ConLaTricolorPuesta https://t.co/OtIC6VUqEH;846836827080347649;WEB Post to Timeline;781;251;0;0;No;03/02/2014;Chiquinquirá;Extra Chiquinquirá el diario de todos.;View;
3/28/2017 14:30:07;@ExtraBogota;Extra Bogotá;0;[EN VIVO] Y se abrió el marcador con @jamesdrodriguez @FEFecuador vs. @FCFSeleccionCol #ConLaTricolorPuesta https://t.co/rfiGkHKdvb;846836828275707905;WEB Post to Timeline;765;436;0;0;No;02/05/2012;;El diario de todos;View;
